Action,ProductSKU,ProductName,Location_x,MinimumBeforeReorder,ReorderQuantity,StockLocator,PickZones
Create/Update,5060093991710,6 O'clock Sloe Gin 750ml,Pleasant Valley,,,,
Create/Update,860076000317,Amass Dry Gin 750ml,Pleasant Valley,,,,
Create/Update,850047003003,Angels Envy Bourbon 750ml,Pleasant Valley,2.0000,6.0000,,
Create/Update,895736000246,Awayuki Strawberry Gin 750ml,Pleasant Valley,,,,
Create/Update,852757002826,Balcones Big Baby Tequila Cask 750ml,Pleasant Valley,,,,
Create/Update,852757002055,Balcones Brimstone 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,852757002321,Balcones Peated Single Malt 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,7072431500063,Bareksten Gin 750ml,Pleasant Valley,,,,
Create/Update,851718000680,Benhams Barrel Finished Gin 750ml,Pleasant Valley,0.0000,6.0000,,
Create/Update,858198001831,Bluecoat Gin 1L,Pleasant Valley,,,,
Create/Update,080915108022,Bols Genever 1L,Pleasant Valley,,,,
Create/Update,080480002107,Bombay Sapphire East 1L,Pleasant Valley,2.0000,12.0000,,
Create/Update,749787600033,Cabrito Blanco 1L,Pleasant Valley,1.0000,12.0000,,
Create/Update,749787500012,Cabrito Reposado 1L,Pleasant Valley,,,,
Create/Update,051497237318,Calirosa Anejo 750ml,Pleasant Valley,,,,
Create/Update,051497281793,Calirosa Extra Anejo 750ml,Pleasant Valley,,,,
Create/Update,051497237301,Calirosa Rosa Blanco 750ml,Pleasant Valley,,,,
Create/Update,850008153082,Campo Bravo 1L,Pleasant Valley,,,,
Create/Update,810852032179,Clairin Rum Casimir 750ml,Pleasant Valley,2.0000,2.0000,,
Create/Update,850032865050,Creador Jabali 750ml,Pleasant Valley,,,,
Create/Update,850032865005,Creador Lumbre 750ml,Pleasant Valley,,,,
Create/Update,850032865081,Creador Mexicano 750ml,Pleasant Valley,,,,
Create/Update,081753822422,Dom Perignon Vintage 2010 750ml,Pleasant Valley,,,,
Create/Update,7416388330586,Don Fulano Anejo 750ml,Pleasant Valley,,,,
Create/Update,7416388130674,Don Fulano Blanco 100 proof 750ml,Pleasant Valley,,,,
Create/Update,7416388130506,Don Fulano Blanco 80 proof 750ml,Pleasant Valley,,,,
Create/Update,7416388337516,Don Fulano Extra Anejo 750ml,Pleasant Valley,3.0000,2.0000,,
Create/Update,7416388230596,Don Fulano Reposado 750ml,Pleasant Valley,,,,
Create/Update,082301100023,Don Q Cristal 1L,Pleasant Valley,,,,
Create/Update,898432002460,Dulce Vida Anejo 750ml,Pleasant Valley,,,,
Create/Update,898432002019,Dulce Vida Blanco 100 Proof 750ml,Pleasant Valley,,,,
Create/Update,898432002002,Dulce Vida Blanco 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,898432002507,Dulce Vida Grapefruit 750ml,Pleasant Valley,,,,
Create/Update,898432002637,Dulce Vida Pineapple Jalapeno 750ml,Pleasant Valley,,,,
Create/Update,898432002453,Dulce Vida Reposado 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,8030198009976,Elena Gin 750ml,Pleasant Valley,2.0000,6.0000,,
Create/Update,039383008570,Farmers Organic Gin 750ml,Pleasant Valley,,,,
Create/Update,898563002629,Fernet Branca 750ml,Pleasant Valley,6.0000,6.0000,,
Create/Update,724803018467,Foursquare Indelible 750ml,Pleasant Valley,2.0000,2.0000,,
Create/Update,724803018498,Foursquare Sovereignty 750ml,Pleasant Valley,,,,
Create/Update,741638952124,Fuenteseca Anejo 2003 18y 750ml,Pleasant Valley,,,,
Create/Update,741638000047,Fuenteseca Anejo 2005 11y 750ml,Pleasant Valley,,,,
Create/Update,741638952117,Fuenteseca Anejo 2006 15y 750ml,Pleasant Valley,,,,
Create/Update,851756002424,Garrison Brothers Balmorhea 750ml,Pleasant Valley,,,,
Create/Update,851756002523,Garrison Brothers Guadalupe Port Cask 750ml,Pleasant Valley,,,,
Create/Update,851756002455,Garrison Brothers Honeydew 750ml,Pleasant Valley,2.0000,6.0000,,
Create/Update,851756002196,Garrison Brothers Single Barrel 750ml,Pleasant Valley,2.0000,6.0000,,
Create/Update,080686122210,Gilbeys Gin Round 1L,Pleasant Valley,,,,
Create/Update,086785890159,Gracias a Dios Oaxacan Gin 750ml,Pleasant Valley,1.0000,1.0000,,
Create/Update,5033931602284,Half Hitch Gin 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,089744757357,Ilegal Mezcal Joven 750ml,Pleasant Valley,2.0000,12.0000,,
Create/Update,814794011230,Knappogue Castle 16y Twin Wood 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,860001753448,Komos Reposado Rosa 750ml,Pleasant Valley,,,,
Create/Update,7533396874793,Lobos Tequila 1707 Joven 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,816136027909,Lobos Tequila 1707 Reposado 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,087229127664,Luxardo Sour Cherry Gin 750ml,Pleasant Valley,,,,
Create/Update,818367000157,Neisson Vieux Ed Hamilton 750ml,Pleasant Valley,,,,
Create/Update,852962007104,Nelson Brothers Classic Whiskey 750ml,Pleasant Valley,3.0000,6.0000,,
Create/Update,852962007098,Nelson Brothers Reserve Bourbon 750ml,Pleasant Valley,3.0000,6.0000,,
Create/Update,860465000102,Old Harbor San Miguel Gin 750ml,Pleasant Valley,,,,
Create/Update,721733000012,Patron Anejo 750ml,Pleasant Valley,,,,
Create/Update,721733003075,Patron Extra Anejo 750ml,Pleasant Valley,,,,
Create/Update,721733000159,Patron Reposado 750ml,Pleasant Valley,,,,
Create/Update,860006826109,Pinhook Bourbon War Shaker Barrel 750ml,Pleasant Valley,,,,
Create/Update,695521152187,Plantation OFTD 1L,Pleasant Valley,3.0000,6.0000,,
Create/Update,9120013511476,Rochelt Gin 375ml,Pleasant Valley,,,,
Create/Update,7591156404604,Santa Teresa 1796 Solera 750ml,Pleasant Valley,2.0000,6.0000,,
Create/Update,088004139940,Sazerac Rye 6y 750ml,Pleasant Valley,3.0000,6.0000,,
Create/Update,850001380058,Scapegrace Black Gin 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,850001380003,Scapegrace Dry Gin 750ml,Pleasant Valley,1.0000,6.0000,,
Create/Update,850001380010,Scapegrace Gold Dry Gin 750ml,Pleasant Valley,,,,
Create/Update,7503007479303,Sol Tarasco Anejo Charanda con Honogos 750ml,Pleasant Valley,,,,
Create/Update,698450942461,Soledad Joven 750ml,Pleasant Valley,0.0000,6.0000,,
Create/Update,088076168640,Tanqueray Rangpur 750ml,Pleasant Valley,,,,
Create/Update,195893687015,Tequila 818 Blanco 750ml,Pleasant Valley,,,,
Create/Update,195893031092,Tequila 818 Reposado 750ml,Pleasant Valley,,,,
Create/Update,898185001666,Treaty Oak Waterloo No. 9 1L,Pleasant Valley,3.0000,6.0000,,
Create/Update,854125003008,Tres Agaves Blanco 750ml,Pleasant Valley,,,,
Create/Update,854125003015,Tres Agaves Reposado 750ml,Pleasant Valley,2.0000,12.0000,,
Create/Update,080686187233,Tyrconnell Single Malt 750ml,Pleasant Valley,2.0000,6.0000,,
Create/Update,855939007091,Western Son Gin 1L,Pleasant Valley,,,,
Create/Update,853507000550,Westward Pinot Noir Single Malt 750ml,Pleasant Valley,,,,
Create/Update,848557000612,Whitley Blood Orange Gin 750ml,Pleasant Valley,0.0000,6.0000,,
Create/Update,848557000339,Whitley Original London Dry Gin 750ml,Pleasant Valley,,,,
Create/Update,8005765969120,Wild Sardina Gin 750ml,Pleasant Valley,,,,
Create/Update,721059000635,Wray and Nephew Overproof 750ml,Pleasant Valley,,,,
Create/Update,869641000004,Zephyr Gin 750ml,Pleasant Valley,,,,
